"","playerID","yearID","teamID.x","lgID.x","AB","H","HR","RBI","BB","SO","nameFirst","nameLast","nameGiven","salary","HperAB","HRperH","recordID","count","playerCount","fullName"
"301","anderji02",1999,"PIT","NL",9,3,0,1,0,2,"Jimmy","Anderson","James Drew",2e+05,0.333333333333333,0,342,1,5,"Jimmy Anderson"
"302","anderji02",2000,"PIT","NL",50,7,0,1,0,11,"Jimmy","Anderson","James Drew",215000,0.14,0,343,1,5,"Jimmy Anderson"
"303","anderji02",2001,"PIT","NL",59,7,0,3,4,15,"Jimmy","Anderson","James Drew",285000,0.11864406779661,0,344,1,5,"Jimmy Anderson"
"304","anderji02",2002,"PIT","NL",42,5,0,1,2,12,"Jimmy","Anderson","James Drew",305000,0.119047619047619,0,345,1,5,"Jimmy Anderson"
"305","anderji02",2003,"CIN","NL",9,1,0,0,2,4,"Jimmy","Anderson","James Drew",6e+05,0.111111111111111,0,346,1,5,"Jimmy Anderson"
"312","anderma02",1999,"PHI","NL",452,114,5,54,24,61,"Marlon","Anderson","Marlon Ordell",2e+05,0.252212389380531,0.043859649122807,355,1,6,"Marlon Anderson"
"313","anderma02",2001,"PHI","NL",522,153,11,61,35,74,"Marlon","Anderson","Marlon Ordell",280000,0.293103448275862,0.0718954248366013,356,1,6,"Marlon Anderson"
"314","anderma02",2002,"PHI","NL",539,139,8,48,42,71,"Marlon","Anderson","Marlon Ordell",4e+05,0.257884972170686,0.0575539568345324,357,1,6,"Marlon Anderson"
"315","anderma02",2003,"TBA","AL",482,130,6,67,41,60,"Marlon","Anderson","Marlon Ordell",6e+05,0.269709543568465,0.0461538461538462,358,1,6,"Marlon Anderson"
"316","anderma02",2004,"SLN","NL",253,60,8,28,12,38,"Marlon","Anderson","Marlon Ordell",6e+05,0.237154150197628,0.133333333333333,359,1,6,"Marlon Anderson"
"317","anderma02",2008,"NYN","NL",138,29,1,10,9,27,"Marlon","Anderson","Marlon Ordell",1050000,0.210144927536232,0.0344827586206897,364,1,6,"Marlon Anderson"
"319","andinro01",2008,"FLO","NL",63,13,2,9,4,23,"Robert","Andino","Robert Lazaro",390000,0.206349206349206,0.153846153846154,366,1,5,"Robert Andino"
"320","andinro01",2009,"BAL","AL",198,44,2,10,15,47,"Robert","Andino","Robert Lazaro",4e+05,0.222222222222222,0.0454545454545455,367,1,5,"Robert Andino"
"321","andinro01",2011,"BAL","AL",457,120,5,36,41,83,"Robert","Andino","Robert Lazaro",421500,0.262582056892779,0.0416666666666667,368,1,5,"Robert Andino"
"322","andinro01",2012,"BAL","AL",384,81,7,28,37,100,"Robert","Andino","Robert Lazaro",1300000,0.2109375,0.0864197530864197,369,1,5,"Robert Andino"
"323","andinro01",2013,"SEA","AL",76,14,0,4,7,27,"Robert","Andino","Robert Lazaro",1600000,0.184210526315789,0,370,1,5,"Robert Andino"
"324","andresh01",1995,"MON","NL",220,47,8,31,17,68,"Shane","Andrews","Darrell Shane",109000,0.213636363636364,0.170212765957447,371,1,5,"Shane Andrews"
"325","andresh01",1996,"MON","NL",375,85,19,64,35,119,"Shane","Andrews","Darrell Shane",135000,0.226666666666667,0.223529411764706,372,1,5,"Shane Andrews"
"326","andresh01",1997,"MON","NL",64,13,4,9,3,20,"Shane","Andrews","Darrell Shane",225000,0.203125,0.307692307692308,373,1,5,"Shane Andrews"
"327","andresh01",1998,"MON","NL",492,117,25,69,58,137,"Shane","Andrews","Darrell Shane",450000,0.23780487804878,0.213675213675214,374,1,5,"Shane Andrews"
"328","andresh01",2000,"CHN","NL",192,44,14,39,27,59,"Shane","Andrews","Darrell Shane",1e+06,0.229166666666667,0.318181818181818,377,1,5,"Shane Andrews"
"329","andruel01",2009,"TEX","AL",480,128,6,40,40,77,"Elvis","Andrus","Elvis Augusto",4e+05,0.266666666666667,0.046875,378,1,8,"Elvis Andrus"
"330","andruel01",2010,"TEX","AL",588,156,0,35,64,96,"Elvis","Andrus","Elvis Augusto",418420,0.26530612244898,0,379,1,8,"Elvis Andrus"
"331","andruel01",2011,"TEX","AL",587,164,5,60,56,74,"Elvis","Andrus","Elvis Augusto",452180,0.2793867120954,0.0304878048780488,380,1,8,"Elvis Andrus"
"332","andruel01",2012,"TEX","AL",629,180,3,62,57,96,"Elvis","Andrus","Elvis Augusto",2625000,0.286168521462639,0.0166666666666667,381,1,8,"Elvis Andrus"
"333","andruel01",2013,"TEX","AL",620,168,4,67,52,97,"Elvis","Andrus","Elvis Augusto",5050000,0.270967741935484,0.0238095238095238,382,1,8,"Elvis Andrus"
"334","andruel01",2014,"TEX","AL",619,163,2,41,46,96,"Elvis","Andrus","Elvis Augusto",6475000,0.263327948303716,0.0122699386503067,383,1,8,"Elvis Andrus"
"335","andruel01",2015,"TEX","AL",596,154,7,62,46,78,"Elvis","Andrus","Elvis Augusto",1.5e+07,0.258389261744966,0.0454545454545455,384,1,8,"Elvis Andrus"
"336","andruel01",2016,"TEX","AL",506,153,8,69,47,70,"Elvis","Andrus","Elvis Augusto",15333333,0.302371541501976,0.0522875816993464,385,1,8,"Elvis Andrus"
